epoch,loss,val_loss
1,5.55304771398267e-05,
2,2.5422028056073667e-05,
3,2.3076430816663116e-05,
4,2.0895682754681648e-05,
5,1.9487525885499334e-05,
6,1.9746423556005705e-05,
7,1.892378185294655e-05,
8,1.8370151328336294e-05,
9,1.6966305495045886e-05,
10,1.811779221558421e-05,
11,1.9553053194753236e-05,
12,1.8117687250037467e-05,
13,1.61111224615111e-05,
14,1.574943105202005e-05,
15,1.5785524720530913e-05,
16,1.595321724949712e-05,
17,1.5321952868508416e-05,
18,1.5999926005123425e-05,
19,1.8087574056954616e-05,
20,1.6236234849081603e-05,
21,1.518563536350726e-05,
22,1.658682017986794e-05,
23,1.476152803011214e-05,
24,1.342358480103469e-05,
25,1.361897271648546e-05,
26,1.3501303575518327e-05,
27,1.4620263172460667e-05,
28,1.579432148446358e-05,
29,1.558689673656518e-05,
30,1.3651811832539726e-05,
31,1.4295579831014038e-05,
32,1.4717080971963155e-05,
33,1.3067769806149534e-05,
34,1.2562922203831514e-05,
35,1.2877741279032046e-05,
36,1.3419933161521777e-05,
37,1.2110357975724729e-05,
38,1.176418168365449e-05,
39,1.554210556863124e-05,
40,1.1940494572940592e-05,
41,1.2451516283420404e-05,
42,1.2217051882792227e-05,
43,1.2898234152382136e-05,
44,1.2345543912923877e-05,
45,1.218004971036436e-05,
46,1.1367630717219212e-05,
47,1.1225670944002088e-05,
48,1.6829398378502547e-05,
49,1.2116212668194487e-05,
50,1.1842819342736684e-05,
51,1.1886412411198622e-05,
52,1.1974961666026985e-05,
53,1.1322597115681388e-05,
54,1.0088965438683715e-05,
55,1.1111130593601136e-05,
56,1.3309065367421853e-05,
57,1.2044019314316756e-05,
58,1.088437861184744e-05,
59,1.148560776706112e-05,
60,1.1748557896125803e-05,
61,1.4013231399709006e-05,
62,1.1019491236910737e-05,
63,1.1973259855356356e-05,
64,1.1526845101143153e-05,
65,1.1405922021469348e-05,
66,1.1120842756796022e-05,
67,9.4866721927555e-06,
68,9.048208429245736e-06,
69,9.222858607785752e-06,
70,8.928970909186116e-06,
71,9.013833747061896e-06,
72,1.3305464155176585e-05,
73,8.702006680665248e-06,
74,9.144159788364915e-06,
75,8.924699293608931e-06,
76,1.1244546485740884e-05,
77,9.875264266258353e-06,
78,8.77349745545095e-06,
79,8.545752983827634e-06,
80,8.95104978746111e-06,
81,8.567621130232447e-06,
82,8.288160595829604e-06,
83,9.135813218744534e-06,
84,8.658921922352528e-06,
85,9.134779223837743e-06,
86,8.265531952255279e-06,
87,1.4604729631014538e-05,
88,9.82273989085764e-06,
89,9.161408166369733e-06,
90,8.868713081454672e-06,
91,1.0309985964897248e-05,
92,1.0762627627255741e-05,
93,8.211393406015616e-06,
94,8.467788227399006e-06,
95,8.71831593761564e-06,
96,8.809995894022325e-06,
97,9.179758623784412e-06,
98,8.394958261614339e-06,
99,9.206354152920031e-06,
100,7.390399614140816e-06,
